song_id,title,duration_sec,genre,album_id
1,Nature become this easy,316,Classical,267
2,Trade space anyone,280,Rock,141
3,Another discussion,139,EDM,147
4,This friend,189,Jazz,164
5,First vote tonight,140,Rock,78
6,Art happy that,218,EDM,79
7,Already pay lay likely,174,Pop,213
8,Safe Democrat memory,204,R&B,239
9,Government especially mouth push,135,Rock,216
10,She pay activity,351,Classical,300
11,Kid part well issue,125,Classical,392
12,Talk though,217,Hip-Hop,4
13,Six,196,Classical,200
14,His capital open,257,EDM,377
15,Myself certain,324,R&B,113
16,Industry only,176,Jazz,224
17,Decision tonight,127,Hip-Hop,173
18,Party cell,293,Classical,208
19,Evening per,162,Classical,240
20,Billion live,279,R&B,14
21,Learn leg,271,R&B,340
22,Staff talk,141,EDM,220
23,Treat nearly individual,341,Hip-Hop,94
24,Structure discover compare,186,Hip-Hop,168
25,Between,236,Jazz,173
26,Garden send city indeed,345,Hip-Hop,143
27,Sort field increase,332,Hip-Hop,130
28,Bit wall,240,Pop,384
29,Up old whom,133,Jazz,115
30,Professional some,137,Classical,334
31,Growth example start,313,Pop,127
32,Activity vote interest point,334,Pop,319
33,Measure sound college attorney,181,Rock,243
34,Rather growth,149,R&B,112
35,Affect law,299,Jazz,393
36,Toward dark,162,R&B,311
37,Owner method series,303,Pop,399
38,Candidate tonight up,199,Pop,297
39,Others best above,357,Jazz,295
40,Rate course,352,Hip-Hop,204
41,Phone box manager my,170,Pop,304
42,Such operation,332,EDM,125
43,Agreement race church,298,Classical,155
44,Resource else will,273,Classical,62
45,Enter,320,Pop,178
46,Bed voice,229,EDM,190
47,Building hundred participant,249,EDM,175
48,Out audience,337,Hip-Hop,251
49,Data social their,230,Jazz,326
50,Rule imagine,301,Rock,223
51,Risk pretty raise,307,R&B,334
52,Behind think computer,277,Classical,276
53,Stay mention might late,243,Hip-Hop,224
54,Picture,271,Jazz,166
55,Memory woman him,332,Pop,143
56,Mind its continue,182,Classical,238
57,Our impact,276,EDM,195
58,Everybody sound material,127,Hip-Hop,167
59,Right pressure,244,Rock,182
60,Dream into read,207,Jazz,306
61,Citizen loss,345,Jazz,285
62,Author all everybody,252,Rock,44
63,Dark local,304,Hip-Hop,251
64,Guess man,314,Rock,354
65,Side yet control,285,EDM,252
66,Possible attention,322,Pop,48
67,Stock,176,Hip-Hop,355
68,Do happy,198,EDM,298
69,Him,241,R&B,272
70,Several foot wait live,228,EDM,282
71,Ever thought,210,EDM,233
72,He treatment board,198,Jazz,119
73,Save lose deal,304,Rock,162
74,Rock pattern south,310,R&B,391
75,Statement challenge government,167,Rock,111
76,Himself talk,243,Jazz,371
77,Possible hand,314,R&B,306
78,Dark sense able,145,Classical,100
79,Ask agree,178,Jazz,92
80,Her executive,123,EDM,274
81,Structure,190,Pop,28
82,Course answer who,194,EDM,65
83,Message others likely,342,Classical,252
84,Speech than human,343,Pop,294
85,That behavior,240,Hip-Hop,226
86,Bar,167,Pop,130
87,Age follow,149,Classical,34
88,Behavior environment which,245,Pop,296
89,Read young throw,295,Pop,78
90,Score general herself,327,R&B,156
91,Finally,183,Pop,286
92,Whether back himself,226,R&B,306
93,Life report,177,Classical,268
94,Begin condition effort,235,Hip-Hop,153
95,Beautiful loss remember believe,229,Jazz,292
96,Still continue whom,135,R&B,379
97,Friend deep any,315,Rock,321
98,Number,187,EDM,42
99,Gas beat,181,Rock,283
100,Per,160,Pop,210
101,Chance seven value,296,R&B,241
102,American product our write,128,Rock,148
103,Bank great,192,EDM,233
104,Policy difficult public,295,Rock,136
105,Protect with somebody quality,270,EDM,102
106,Difficult represent attorney,149,R&B,116
107,Similar approach contain,158,Jazz,73
108,Design itself source brother,135,Rock,158
109,Event war seven,311,Classical,292
110,Half pressure miss,232,Pop,240
111,Again place,197,EDM,207
112,Rest pattern,248,R&B,253
113,Meeting quickly assume,140,R&B,21
114,Rise cultural Democrat quite,308,Jazz,310
115,Significant,126,Pop,118
116,Federal daughter Democrat,334,Classical,295
117,Peace find sea,125,Classical,345
118,Have guess military,267,Pop,391
119,Rich growth word,164,Hip-Hop,266
120,Understand great task,233,Jazz,93
121,Bag sport,231,EDM,252
122,My perhaps,240,Jazz,210
123,Ground maybe,202,EDM,54
124,Citizen when involve,204,Hip-Hop,356
125,Woman interest,193,EDM,206
126,At help,260,Pop,233
127,Finish leg article,200,Jazz,166
128,Somebody life,317,Hip-Hop,264
129,Police music,288,Classical,278
130,Clearly do section,225,Pop,97
131,Knowledge difference either,212,R&B,388
132,Budget reason appear,280,Hip-Hop,390
133,Ago,172,Jazz,282
134,Level memory reveal,357,Jazz,225
135,Quickly surface,244,Pop,15
136,Newspaper develop,275,Classical,123
137,Chair design foreign street,160,Jazz,283
138,Show south offer,261,Hip-Hop,48
139,Your adult positive cold,335,Pop,237
140,Response structure,285,Classical,79
141,Field serve,358,EDM,150
142,Evidence base,300,Jazz,213
143,Interview better,240,Rock,234
144,Rock someone read,157,Hip-Hop,98
145,Staff hour nature,250,EDM,70
146,Body yard skill,190,Classical,213
147,Line rest significant,359,Classical,260
148,Magazine hot,330,Pop,145
149,Body one need,196,Classical,301
150,Crime manage stock no,288,Hip-Hop,77
151,Road ever price magazine,257,Hip-Hop,177
152,Black almost maybe,261,Classical,279
153,Strong old situation,236,Jazz,97
154,Movement television simple,181,R&B,197
155,Thought,339,Classical,211
156,Green summer,201,EDM,243
157,Ability protect seek,353,Classical,196
158,Experience,289,Classical,334
159,Line play,246,Pop,65
160,Born act,271,Jazz,52
